"","X6","X12","X66","X73"
"...2","GHE code","20","540","610"
"...3",NA,NA,NA,NA
"World Health Organization","GHE cause","A.","E.","A."
"...5",NA,"Infectious and parasitic diseases","Nutritional deficiencies","Malignant neoplasms"
"...6",NA,NA,NA,NA
"...7","Member State
(See Notes for explanation of colour codes)",NA,NA,NA
"...120","Namibia","6.6559697901000003","0.24421530283099999","0.86429550075299999"
"...121","Nepal","29.967738332700002","0.91955609730900001","14.3764609056"
"...122","Netherlands","1.63844712875","0.38181596669200002","43.957969375799998"
"...123","New Zealand","0.245178851319","0.029238485714999998","8.4927451462699999"
"...124","Nicaragua","1.38387072232","0.208763416506","3.40876835723"
"...125","Niger","67.711400314100004","7.3216674214299999","4.3444103378800003"
"...126","Nigeria","764.52873382400003","50.065405809600001","68.730038299"
"...127","Norway","0.82136777200900002","0.074311151919999999","11.5389234689"
"...128","Oman","0.278993430988","0.032374938393999998","0.82231110621000003"
"...129","Pakistan","187.785638562","7.0626924857200004","100.39986405800001"
"...130","Panama","1.47047599611","0.16738954013400001","2.9044298298600002"
"...131","Papua New Guinea","14.282264319299999","0.36109698811500002","5.1797283652899999"
"...132","Paraguay","1.60089856677","0.259566633203","4.77909343385"
"...133","Peru","8.6331316948399994","2.05829996754","25.374459102500001"
"...134","Philippines","58.719182548299997","5.9419420764900002","59.2425350814"
"...135","Poland","2.9054090296999999","0.17724851732399999","98.361258272399994"
"...136","Portugal","2.69167433376","0.27905667585299998","27.621970299200001"
"...137","Qatar","0.027841058023999998","0.000606387626","0.47541247710599999"
"...138","Republic of Korea","7.7442650095000003","0.345396801541","78.878277216599997"
"...139","Republic of Moldova","0.90407337369499996","0.0070444291879999997","6.4995149030799997"
"...140","Romania","2.6445950040400001","0.11876706135200001","47.835411152900001"
"...141","Russian Federation","47.5021115192","0.729237109795","335.355482489"
"...142","Rwanda","19.879336845600001","2.8238770865","6.8395622035199999"
"...143","Saint Lucia","0.042010855228000001","0.0045499289940000003","0.208438021394"
"...144","Saint Vincent and the Grenadines","0.048481715326999998","0.0097691736799999998","0.12697732660700001"
"...145","Samoa","0.029218973959999998","0.0049764057369999998","0.12949427247100001"
"...146","Sao Tome and Principe","0.21822264306200001","0.026667978214999999","0.099600229730999995"
"...147","Saudi Arabia","2.1173498662000001","0.10220900567000001","8.8787216614099993"
"...148","Senegal","22.465136174400001","1.9905572711699999","4.8643321752600004"
"...149","Serbia","0.55628840459200002","0.087300750528000001","23.298141452199999"
"...150","Seychelles","0.017461668848999998","0.0016696114749999999","0.12555703945300001"
"...151","Sierra Leone","36.607683395199999","2.40450336373","2.1158111202700001"
"...152","Singapore","0.27660519348099999","0.00157639379","6.6623816595200003"
"...153","Slovakia","0.38250323063399999","0.0081653623830000004","12.2158449123"
"...154","Slovenia","0.094758359856999999","0.0080889058019999998","5.9646844660099996"
"...155","Solomon Islands","0.30436687373299998","0.017160761771999999","0.319963742489"
"...156","Somalia","49.092712500899999","11.511215461899999","5.2689010529600004"
"...157","South Africa","258.01563738099998","4.1045381123900002","47.9718829985"
"...158","South Sudan","45.485571424200003","3.2326097539099998","6.1733513208400002"
"...159","Spain","5.8698801789299999","0.93101986584800001","106.26461985500001"
"...160","Sri Lanka","4.2057210121999997","0.16744308251600001","17.6169663312"
"...161","Sudan","48.541647550599997","1.19890970632","14.4160594629"
"...162","Suriname","0.24985653007","0.014027091441000001","0.54523293340900003"
"...163","Swaziland","7.8319412832099999","0.17038621036400001","0.68931811502399998"
"...164","Sweden","1.56413809927","0.22003018914799999","22.693128189500001"
"...165","Switzerland","0.63105555563299998","0.112664924532","16.8917557065"
"...166","Syrian Arab Republic","1.8420282243599999","0.14356089163800001","13.972901074599999"
