"","X","Country","code","infect","nofood","cancer","pop","gdppc","cancerpop","infectpop","nofoodpop","cancer.r.val","infect.r.value","nofood.r.value","gdppcc","infectpopc","cancerpopc","nofoodpopc"
"63",63,"Guinea-Bissau",624,6.15700874,0.242202965,0.6345516,1522.603,557.6321083,0.000416754,0.004043739,0.000159072,NA,NA,NA,"Low","High","Low","High"
"64",64,"Guyana",328,0.615254624,0.083276517,0.483331681,749.43,3014.654092,0.000644932,0.000820963,0.00011112,NA,NA,NA,"MediumLow","Medium","Medium","Medium"
"65",65,"Haiti",332,15.70333924,1.49219823,5.824237042,9949.318,674.1945004,0.000585391,0.001578333,0.00014998,NA,NA,NA,"Low","Medium","Medium","High"
"66",66,"Honduras",340,2.97449972,0.293594541,4.446152247,8317.467,1904.346465,0.000534556,0.000357621,3.53e-05,NA,NA,NA,"MediumLow","Medium","Low","Medium"
"67",67,"Hungary",348,0.586546591,0.107843023,32.44143419,9927.38,13209.4967,0.003267875,5.91e-05,1.09e-05,NA,NA,NA,"High","Low","High","Medium"
"68",68,"Iceland",352,0.014397583,0.003011793,0.576445755,320.342,42717.74459,0.00179947,4.49e-05,9.4e-06,NA,NA,NA,"High","Low","High","Medium"
"69",69,"India",356,1517.383745,81.76963667,683.7525009,1234281.163,1352.706184,0.000553968,0.001229366,6.62e-05,NA,NA,NA,"MediumLow","Medium","Medium","Medium"
"70",70,"Indonesia",360,266.497124,17.89808163,186.4821912,241834.226,3122.362804,0.000771116,0.001101983,7.4e-05,NA,NA,NA,"MediumLow","Medium","Medium","Medium"
"71",71,"Iraq",368,6.496359289,0.289883485,17.78743538,29741.977,4657.280426,0.000598058,0.000218424,9.75e-06,NA,NA,NA,"MediumHigh","Medium","Medium","Medium"
"72",72,"Ireland",372,0.238866651,0.031046232,7.996758529,4554.33,48777.58096,0.001755858,5.24e-05,6.82e-06,NA,NA,NA,"High","Low","High","Low"
"73",73,"Israel",376,1.003247129,0.178799203,10.96473338,7346.446,31851.54806,0.001492522,0.000136562,2.43e-05,NA,NA,NA,"High","Medium","Medium","Medium"
"74",74,"Italy",380,7.263363889,1.668353701,169.3949903,59325.232,35971.50621,0.002855362,0.000122433,2.81e-05,NA,NA,NA,"High","Low","High","Medium"
