"","...5","...43","...53","...63","...68"
"78","132","311.66800000000001","386.28800000000001","463.03399999999999","492.64400000000001"
"79","384","9918.2039999999997","14199.759","18354.512999999999","20532.944"
"80","270","755.79100000000005","1128.577","1543.7449999999999","1793.1990000000001"
"81","288","12783.617","17014.058000000001","21814.648000000001","24779.614000000001"
"82","324","5470.7160000000003","7269.6310000000003","9109.5849999999991","10192.168"
"83","624","872.16300000000001","1088.8499999999999","1344.931","1522.6030000000001"
"84","430","2145.7559999999999","2044.6569999999999","3218.114","3891.357"
"85","466","7831.8879999999999","9585.66","12775.509","15049.352000000001"
"86","478","1780.0329999999999","2313.63","3024.1979999999999","3494.2"
"87","562","6915.9939999999997","9490.2890000000007","13624.474","16464.025000000001"
"88","566","83562.775999999998","107948.33900000001","138865.014","158503.20300000001"
"89","654","6.8179999999999996","6.2439999999999998","5.3540000000000001","5.1829999999999998"
"90","686","6471.3289999999997","8690.1550000000007","11090.123","12678.143"
"91","694","3805.3040000000001","4303.9530000000004","5645.6289999999999","6415.6360000000004"
"92","768","3252.9969999999998","4226.2929999999997","5611.643","6421.674"
"93","1833","253469.19399999999","323178.11700000003","391985.54300000001","435366.79"
"94","912","122785.31600000001","156510.64000000001","186421.28200000001","202940.27299999999"
"95","12","22431.507000000001","28757.788","33149.72","35977.451000000001"
"96","818","49258.726000000002","62334.025000000001","75523.576000000001","82761.244000000006"
"97","434","3873.7809999999999","4948.7960000000003","5798.6149999999998","6197.6670000000004"
"98","504","22499.111000000001","26994.255000000001","30455.562999999998","32343.383999999998"
"99","729","17210.182000000001","24094.741000000002","30949.513999999999","34545.014000000003"
"100","788","7329.59","9125.4","10106.778","10635.245000000001"
"101","732","182.41900000000001","255.63499999999999","437.51600000000002","480.26799999999997"
"102","922","130683.878","166667.47700000001","205564.261","232426.51699999999"
"103","51","3335.9349999999999","3217.3490000000002","2981.2620000000002","2877.3139999999999"
"104","31","6666.4470000000001","7775.4179999999997","8538.61","9032.4650000000001"
